#Variantes versión 3.4
#Catálogo 8 (Grado de estudios)
Sin instrucción, sin educación, sin ningún grado de estudio, No tengo estudios
No tengo estudios, Sin instrucción, sin educación, sin ningún grado de estudio
Saber leer, leer, comprensión de lectura
Saber escribir, escribir, escritura
Primaria, escuela primaria
Diseño arquitectónico, Diseño aplicado en la arquitectura
Diseño urbano, Diseño especializado en urbanismo
Diseño urbano arquitectónico, Diseño especializado en urbanismo arquitectónico
Diseño bioclimático, Diseño de bioclimas
Diseño editorial, Diseño aplicado en la industria editorial
Diseño industrial en ergonomía, Diseño industrial especializado en ergonomía
Diseño industrial en metodología, Diseño industrial especializado en metodología
Diseño industrial en resistencia de materiales, Diseño industrial especializado en resistencia de materiales
Diseño industrial en materiales, Diseño industrial especializado en materiales
Diseño industrial en teoría del diseño, Diseño industrial especializado en teoría del diseño
Diseño mecánico, Diseño aplicado en mecánica
Diseño textil, Diseño aplicado en la industria textil
Diseño bidimensional, Diseño en dos dimensiones
Diseño tridimensional, Diseño en tres dimensiones
Diseño artesanal, Diseño aplicado en el campo artesanal, Diseño de artesanías
Diseño artístico industrial, Diseño industrial especializado en el arte
Diseño de muebles, Diseño de mobiliario
Diseño industrial de interiores, Diseño industrial especializado en interiores
Diseño industrial del ambiente, Diseño industrial especializado en el ambiente
Diseño industrial en desarrollo, Diseño industrial especializado en desarrollo
Diseño industrial en planeación, Diseño industrial especializado en planeación
Diseño industrial en realización, Diseño industrial especializado en realización
Diseño ambiental, Diseño de ambientes
Diseño de interiores, Diseño de espacios internos
Diseño de paisaje, Diseño paisajista
Diseño de indumentaria, Diseño de ropa, Diseño de vestimenta
Diseño de la moda en indumentaria, Diseño de la moda especializado en indumentaria
Diseño gráfico digital, Diseño especializado en gráficos digitales
Diseño gráfico electrónico, Diseño especializado en gráficos electrónicos
Diseño gráfico para la comunicación, Diseño gráfico aplicado en la comunicación
Diseño publicitario, Diseño de campañas publicitarias, Diseñador publicitario
Diseño de patrones de tejido de punto, Diseño especializado en patrones de tejido de punto 
Diseño de patrones industriales, Diseño especializado en patrones industriales
Diseño decorativo, Diseño ornamental
Diseño industrial de equipos electrónicos, Diseño industrial especializado en equipos electrónicos
Diseño industrial de patentes, Diseño industrial especializado en patentes
Diseño industrial de patrones, Diseño industrial especializado en patrones

Serigrafía, estampación
Agroindustria, Industria agrícola

Apicultura, cría de abejas, crianza de abejas, cultivo de abejas

Maquinaria agrícola, máquinas agrícolas

Ebanistería, taller de ebanista

Auxiliar de enfermería, Auxiliar en servicios de enfermería 
Auxiliar contable, Auxiliar de contabilidad
Auxiliar de recepción de hotel, Auxiliar en recepción hotelera 
Auxiliar en puericultura, Auxiliar en crianza especializada
Auxiliar de soldadura, Auxiliar en el área de soldadura 
Auxiliar de educadora, Auxiliar en educación
Auxiliar de fotógrafo, Auxiliar en fotografía 
Auxiliar de actuario, Auxiliar en actuaria 
Auxiliar de estadística, Auxiliar en el área de estadística
Auxiliar en matemáticas, Auxiliar en el área de matemáticas 
Auxiliar de cartógrafo, Auxiliar en cartografía 
Auxiliar de laboratorio de electrocardiogramas, Auxiliar en el área de laboratorio de electrocardiogramas 
Auxiliar de fisioterapeuta, Auxiliar en fisioterapia 
Auxiliar de médico, Auxiliar en medicina 
Auxiliar de pediatra, Auxiliar en pediatría 
Auxiliar de quiropráctico, Auxiliar en quiropráctica 
Auxiliar terapéutico, Auxiliar en terapia 
Auxiliar en sistemas, Auxiliar en el área de sistemas 
Auxiliar de compras, Auxiliar en el área de compras 
Auxiliar publicitario, Auxiliar en publicidad 
Auxiliar de tesorería, Auxiliar en el área de tesorería 
Auxiliar de biblioteca, Auxiliar en biblioteca 
Auxiliar de limpieza, Auxiliar en el área de limpieza 
Auxiliar de laboratorio químico, Auxiliar en laboratorio químico 
Auxiliar postal, Auxiliar en oficina postal 
Auxiliar de diseño urbano, Auxiliar en el área de diseño urbano 
Auxiliar en representación arquitectónica, Auxiliar en el área de representación arquitectónica 
Auxiliar bancario, Auxiliar de banco, Auxiliar de institución bancaria

Salud animal de bovinos en el trópico húmedo, Salud animal especializada en bovinos en el trópico húmedo
Salud de nivel medio superior, Salud a nivel medio superior
Salud de nivel superior, Salud a nivel superior
Salud comunitaria, Salud en la comunidad
Salud en el trabajo, Salud en el lugar de trabajo
Salud mental comunitaria, Salud mental en la comunidad
Salud mental publica, Salud mental a nivel público
Salud publica en administración de salud, Salud pública especializada en administración de salud
Salud publica en epidemiologia, Salud pública especializada en epidemiología
Salud publica en nutrición comunitaria, Salud pública especializada en nutrición comunitaria
Salud publica en odontología social, Salud pública especializada en odontología social
Salud publica en regularización, Salud pública especializada en regularización
Salud publica en salud en el trabajo, Salud pública especializada en salud en el trabajo
Salud reproductiva, Salud de la reproducción

Enfermería cardiológica, Enfermería especializada en cardiología
Enfermería en fisioterapia, Enfermería en terapia física 
Enfermería pediátrica, Enfermería especializada en pediatría 
Enfermería psiquiátrica, Enfermería especializada en psiquiatría 
Enfermería quirúrgica, Enfermería especializada en cirugía 
Enfermería administrativa, Enfermería especializada en administración 
Enfermería familiar, Enfermería para la familia 
Enfermería homeópata, Enfermería especializada en homeopatía 
Enfermería industrial, Enfermería para la industria 
Enfermería en administración de servicios, Enfermería especializada en administración de servicios
Enfermería en administración en servicios de enfermería, Enfermería especializada en administración en servicios de enfermería 
Enfermería en cuidados intensivos, Enfermería especializada en cuidados intensivos
Enfermería en salud comunitaria, Enfermería especializada en salud comunitaria 
Enfermería en salud mental, Enfermería especializada en salud mental 
Enfermería en salud ocupacional, Enfermería especializada en salud ocupacional 
Enfermería en salud pública, Enfermería especializada en salud pública 

Gerontología, cuidado de la vejez
Urgencias médicas, emergencias médicas, urgencias de salud, emergencias de salud

Comunicación social, Comunicación en sociedad
Comunicación audiovisual, Comunicación de medios audiovisuales
Comunicación educativa, Comunicación en educación
Comunicación en periodismo, Comunicación especializada en periodismo
Comunicación en área deportiva, Comunicación especializada en área deportiva
Comunicación en cine, Comunicación especializada en cine
Comunicación en creatividad, Comunicación especializada en creatividad
Comunicación en letras, Comunicación especializada en letras
Comunicación en medios masivos, Comunicación especializada en medios masivos
Comunicación en mercadotecnia, Comunicación especializada en mercadotecnia
Comunicación en publicidad, Comunicación especializada en publicidad
Comunicación en radio, Comunicación especializada en radio
Comunicación en televisión, Comunicación especializada en televisión
Comunicación gráfica en desarrollo, Comunicación gráfica especializada en desarrollo 
Comunicación institucional, Comunicación en las instituciones
Comunicación multimedia, Comunicación especializada en elementos multimedia
Comunicación organizacional, Comunicación de las organizaciones
Comunicación rural, Comunicación especializada en el ámbito rural
Comunicación social en periodismo, Comunicación social especializada en periodismo
Comunicación social en publicidad, Comunicación social especializada en publicidad
Comunicación turística, Comunicación en turismo 
Comunicación empresarial, Comunicación en las empresas

Lenguas extranjeras, Lenguas del extranjero 
Lenguas modernas alemanas, Lenguas modernas especializadas en alemán
Lenguas modernas en español, Lenguas modernas especializadas en español
Lenguas modernas francesas, Lenguas modernas especializadas en francés
Lenguas modernas inglesas, Lenguas modernas especializadas en inglés
Lenguas modernas italianas, Lenguas modernas especializadas en italiano
Lenguas orientales, Lenguas de oriente

Formación artística, entrenamiento artístico 
Formación artística de nivel medio superior, Entrenamiento artístico a nivel medio superior 

Actor, Representación histriónica, Histrionismo

Ejecutante de instrumento musical, Intérprete de instrumento musical

Música en cuerdas, Música de cuerdas, Música de instrumentos de cuerda
Música en dirección coral, Música en dirección de coros
Música en ejecución instrumental, Música en ejecución de instrumentos
Música en interpretación, Música especializada en interpretación 
Música en jazz, Música especializada en jazz, Jazz
Música en producción, Música especializada en producción 
Música sacra, Música especializada en lo sacro

Administración de empresas turísticas, Administración de empresas de turismo
Administración de pequeñas instituciones, Administración de instituciones pequeñas
Administración de servicios alimenticios, Administración de servicios de alimentos
Administración de escuelas, Administración escolar, Administración de instituciones educativas
Administración de hospitales, Administración de instituciones hospitalarias
Administración de hoteles, Administración hotelera
Administración de personal, Administración de plantilla laboral, Administración de empleados
Administración de procesos industriales, Administración de procesos de la industria
Administración de recursos marinos, Administración de recursos del mar
Administración de sistemas computacionales, Administración de sistemas de computación
Administración de sistemas de computación administrativa, Administración de sistemas de computación en administración
Administración de sistemas financieros, Administración de sistemas en finanzas
Administración del deporte, Administración deportiva 
Administración del tiempo libre, Administración del tiempo disponible
Administración ejidal, Administración de ejidos
Administración en comercialización, Administración especializada en comercialización
Administración en desarrollo empresarial, Administración en desarrollo de las empresas
Administración en estadística, Administración especializada en estadística 
Administración en manufactura, Administración especializada en manufactura
Administración en mercadotecnia, Administración especializada en mercadotecnia 
Administración en mercadotecnia internacional, Administración especializada en mercadotecnia internacional
Administración en organizaciones marinas, Administración especializada en organizaciones marinas, Administración especializada en organizaciones del mar
Administración en producción, Administración especializada en producción
Administración en promoción industrial, Administración en promoción de la industria, Administración especializada en promoción industrial, Administración especializada en promoción de la industria
Administración en promoción, Administración especializada en promoción 
Administración en relaciones industriales, Administración especializada en relaciones industriales, Administración especializada en relaciones de la industria
Administración en sistemas funcionales de las empresas, Administración en sistemas funcionales empresariales, Administración especializada en sistemas funcionales de las empresas, Administración especializada en sistemas funcionales empresariales
Administración estratégica, Administración de estrategias
Administración bancaria, Administración de bancos, Administración de instituciones bancarias
Administración hotelera, Administración de hoteles 
Administración industrial, Administración de la industria 
Administración laboral, Administración del empleo
Administración militar, Administración de fuerzas militares 
Administración municipal, Administración de municipios 
Administración naval, Administración de navíos 
Administración pública en administración de universidades, Administración pública especializada en administración de universidades, Administración pública en administración de instituciones universitarias  
Administración aduanal, Administración de aduanas
Administración agroindustrial, Administración en agroindustrias
Administración pesquera, Administración en pesca,  Administración pública especializada en pesca
Administración agrotecnologica, Administración en agrotecnología,  Administración pública especializada en agrotecnología 
Administración comercial, Administración de comercios 
Administración de agronegocios, Administración de negocios agrícolas 
Administración de empresas acuícolas, Administración empresarial acuícola
Administración de empresas agropecuarias, Administración empresarial agropecuaria 
Administración de empresas hoteleras, Administración empresarial hotelera 
Administración de empresas marinas, Administración empresarial marina 
Administración de empresas pesqueras, Administración empresarial pesquera 
Administración de empresas públicas, Administración empresarial pública
Administración de empresas rurales, Administración empresarial rural
Administración con acentuación en finanzas, Administración abocada a las finanzas
Administración con enfoque estratégico, Administración enfocada a la estrategia 
Administración de empresas de la construcción, Administración empresarial de la construcción 
Administración de empresas en comercialización estratégica, Administración empresarial en comercialización estratégica
Administración de empresas en dirección del factor humano, Administración empresarial en dirección del factor humano 
Administración de empresas en finanzas, Administración empresarial en finanzas
Administración de empresas en ingeniería financiera, Administración empresarial en ingeniería financiera
Administración de empresas en mercadotecnia, Administración empresarial en mercadotecnia 
Administración de empresas en mercadotecnia de servicios, Administración empresarial en mercadotecnia de servicios
Administración de empresas en negocios internacionales, Administración empresarial en negocios internacionales
Administración de empresas en organización general, Administración empresarial general
Administración empresarial en organización general, Administración de empresas en organización general
Administración de empresas en proyectos de inversión, Administración empresarial en proyectos de inversión
Administración de empresas en recursos humanos, Administración empresarial en recursos humanos, Administración empresarial en RRHH
Administración de empresas en relaciones industriales, Administración empresarial en relaciones industriales
Administración de empresas en sistemas de información administrativa, Administración empresarial en sistemas de información administrativa
Administración de empresas en telecomunicaciones, Administración empresarial en telecomunicaciones 
Administración de empresas portuarias, Administración empresarial portuaria
Administración de la atención médica, Administración del cuidado médico
Administración de la calidad de la industria alimentaria, Administración de la calidad de la industria de los alimentos
Administración de la construcción, Administración de la industria de la construcción
Administración de la empresa industrial, Administración de empresas industriales
Administración de la transformación, Administración transformativa 
Administración de las telecomunicaciones, Administración de la industria de las telecomunicaciones 
Administración de tecnología educativa, Administración de tecnología de la educación
Administración de tecnologías de información, Administración de tecnologías informativas 
Administración del comercio exterior, Administración del comercio externo
Administración en análisis de decisiones, Administración en análisis de resoluciones, Administración especializada en análisis de decisiones
Administración en atención de enfermería, Administración especializada en atención de enfermería
Administración en comercialización estratégica, Administración especializada en comercialización estratégica
Administración en derecho fiscal, Administración especializada en derecho fiscal 
Administración en estudios fiscales, Administración especializada en estudios fiscales
Administración en finanzas, Administración especializada en finanzas 
Administración en información administrativa, Administración especializada en información administrativa 
Administración en informática, Administración especializada en informática 
Administración en ingeniería administrativa, Administración especializada en ingeniería administrativa
Administración en ingeniería financiera, Administración especializada en ingeniería financiera
Administración en instituciones de salud, Administración especializada en instituciones de salud
Administración en mercadotecnia, Administración especializada en mercadotecnia
Administración en mercadotecnia en negocios turísticos, Administración especializada en mercadotecnia en negocios turísticos
#Administración militar para la defensa nacional, Administración de recursos militares para la defensa nacional 
Administración militar para la seguridad,Administración militar para la defensa nacional
Administración tributaria, Administración de recursos tributarios 
Administración turística, Administración del turismo
 
Contabilidad agropecuaria, Contabilidad especializada en la industria agropecuaria
Contabilidad pública, Contabilidad de acceso público
Contabilidad administrativa, Contabilidad especializada en administración
Contabilidad en liquidación, Contabilidad especializada en liquidación
Contabilidad financiera, Contabilidad especializada en finanzas 
Contabilidad fiscal, Contabilidad especializada en área fiscal
Contabilidad corporativa, Contabilidad de corporaciones

Contador privado, Contador particular
Contador privado en informática, Contador particular en informática 
Contador comercial bancario, Contador comercial en área bancaria
Contador público, Contador de acceso público 
Contador público auditor, Contador de acceso público especializado en auditorías 
Contador público en administración financiera, Contado de acceso público especializado en administración financiera
Contador público en mercadotecnia, Contador de acceso público especializado en mercadotecnia 
Contador público en relaciones industriales, Contador de acceso público especializado en relaciones industriales
Contador fiscal, Contador especializado en área fiscal

Comercio exterior, Comercio externo
Comercio internacional en agronegocios, Comercio internacional especializado en agronegocios 
Comercio internacional en productos agropecuarios, Comercio internacional especializado en productos agropecuarios
 
Servicios turísticos, Servicios de turismo
Servicios de restaurante, Servicios restauranteros 
Servicios de belleza, Servicios cosméticos 
Servicios industriales manuales, Servicios manuales de la industria 
Servicios industriales navales, Servicios de la industria naval
Servicios industriales navales en refinería, Servicios de la industria naval en refinería
Servicios de belleza de nivel medio superior, Servicios cosméticos de nivel medio superior 
Servicios urbanos, Servicios municipales
Servicios de hospedaje, Servicios de alojamiento

Turismo cultural, Turismo de sitios culturales 
Turismo en administración de agencias de viajes, Turismo administrativo de agencias de viajes
Turismo en planeación, Turismo especializado en planeación
Turismo internacional, Turismo exterior
Turismo ejidal, Turismo en ejidos 
Turismo alternativo, Turismo alterno 
Turismo sustentable, Turismo de sustento

Secretaria bilingüe, Secretaria hablante de dos idiomas
Secretaria capturista, Secretaria especializada en captura
Secretaria comercial, Secretaria especializada en comercio
Secretaria corresponsal en español, Secretaria corresponsal especializada en español
Secretaria empresarial, Secretaria en empresa
Secretaria en áreas contables, Secretaria especializada en áreas contables
Secretaria en áreas comerciales, Secretaria especializada en áreas comerciales
Secretaria en español, Secretaria especializada en español
Secretaria taquimecanógrafa en informática, Secretaria taquimecanógrafa especializada en informática
Secretaria recepcionista, Secretaria en recepción
Secretaria bilingüe operador en computadoras, Secretaria bilingüe operador especializada en computadoras
Secretaria comercial ejecutiva, Secretaria comercial en área ejecutiva
Secretaria contador de comercio, Secretaria contador especializada en comercio
Secretaria en informática, Secretaria especializada en informática
Secretaria industrial bilingüe, Secretaria industrial hablante de dos idiomas
Secretaria trilingüe, Secretaria hablante de tres idiomas

Secretariado en inglés, Secretariado especializado en inglés
Secretariado de nivel medio superior, Secretariado a nivel medio superior
Secretariado ejecutivo, Secretariado a nivel ejecutivo
Secretariado de nivel superior, Secretariado a nivel superior

Educación preescolar, Educación a nivel preescolar
Educación familiar, Educación de la familia 
Educación física, Educación especializada en acondicionamiento físico 
Educación inicial, Educación temprana 
Educación preescolar bilingüe, Educación bilingüe a nivel preescolar
Educación preescolar indígena, Educación indígena a nivel preescolar
Educación básica bilingüe, Educación bilingüe a nivel básico
Educación primaria indígena, Educación indígena a nivel primaria 
Educación con acentuación en enseñanza bilingüe, Educación especializada en enseñanza bilingüe 
Educación en secundaria, Educación a nivel secundaria 
Educación media, Educación a nivel medio 
Educación media con especialidades, Educación a nivel medio con especialidades 
Educación media en actividades tecnológicas, Educación a nivel medio en actividades tecnológicas
Educación media en administración escolar, Educación a nivel medio en administración escolar 
Educación media en artes plásticas, Educación a nivel medio en artes plásticas
Educación media en ciencias biológicas, Educación a nivel medio en ciencias biológicas 
Educación media en ciencias de la educación, Educación a nivel medio en ciencias de la educación 
Educación media en ciencias naturales, Educación a nivel medio en ciencias naturales
Educación media en ciencias químico biológicas,  Educación a nivel medio en ciencias químico biológicas
Educación media en psicopedagogía,  Educación a nivel medio en psicopedagogía 
Educación media en química, Educación a nivel medio en química
Educación media en telesecundaria,  Educación a nivel medio en telesecundaria 
Educación media multidisciplinaria,  Educación multidisciplinaria a nivel medio 
Educación en asesoría psicopedagógica, Educación especializada en asesoría psicopedagógica 
Educación en investigación educativa, Educación especializada en investigación educativa 
Educación especial en audición, Educación particular en audición 
Educación especial en ceguera, Educación particular en ceguera  
Educación especial en deficientes mentales, Educación particular en deficientes mentales 
Educación especial en educación indígena, Educación particular en educación indígena
Educación especial en problemas de aprendizaje,  Educación particular en problemas de aprendizaje 
Educación especial en trastornos neurológicos, Educación ´particular en trastornos neurológicos
Educación especial en trastornos neuromotores,  Educación particular en trastornos neuromotores 
Educación física en ciencias del deporte, Educación física especializada en ciencias del deporte 
Educación física en futbol, Educación física especializada en futbol  
Educación artística escolar, Educación artística a nivel escolar 
Educación agrícola superior, Educación agrícola a nivel superior 
Educación ambiental, Educación sobre el ambiente 
Educación de la sexualidad humana, Educación especializada en sexualidad humana, Educación sexual
Educación en administración, Educación administrativa 
Educación en administración educativa, Educación administrativa en educación
Educación en ciencias biológicas, Educación especializada en ciencias biológicas 
Educación en ciencias históricas, Educación especializada en ciencias históricas
Educación en ciencias naturales, Educación especializada en ciencias naturales
Educación en comunicación educativa, Educación especializada en comunicación educativa
Educación en desarrollo cognitivo, Educación especializada en desarrollo cognitivo
Educación en desarrollo curricular, Educación especializada en desarrollo curricular
Educación en el campo de la educación indígena, Educación especializada en el campo de la educación indígena
Educación en formación docente, Educación especializada en formación docente 
Educación en historia de la educación regional, Educación especializada en historia de la educación regional 
Educación en humanidades, Educación especializada en humanidades 
Educación en intervención pedagógica, Educación especializada en intervención pedagógica
Educación en lingüística aplicada, Educación especializada en lingüística aplicada 
Educación en matemáticas, Educación especializada en matemáticas 
Educación en orientación escolar, Educación especializada en orientación escolar
Educación en planeación educativa, Educación especializada en planeación educativa
Educación en práctica docente, Educación especializada en práctica docente
Educación en práctica educativa, Educación especializada en práctica educativa
Educación media en ciencias sociales, Educación en ciencias sociales a nivel medio
Educación media en diagnóstico, Educación en diagnóstico a nivel medio
Educación media en matemáticas, Educación en matemáticas a nivel medio
Educación universitaria, Educación a nivel universidad 
Educación odontológica, Educación en odontología
Educación permanente, Educación continúa
Educación tecnológica, Educación en tecnología

Instructor de artes plásticas, Instructor de la disciplina de artes plásticas
Instructor de danza mexicana, Instructor de la disciplina de danza mexicana
Instructor de música, Instructor de clases de música
Instructor de artesanías, Instructor de clases de artesanías
Instructor de administración, Instructor administrativo
Instructor de educación vial, Instructor especializado en educación vial
Instructor de manejo, Instructor de clases de manejo
Instructor de modelaje, Instructor de clases de modelaje
Instructor de vuelo, Instructor de clases de vuelo
Instructor en electrónica, Instructor especializado en electrónica
Instructor tejido, Instructor de clases de tejido
Instructor en mantenimiento industrial, Instructor especializado en mantenimiento industrial
Instructor deportivo, Instructor en deportes, Instructor especializado en deportes
Instructor acondicionamiento físico, Instructor en acondicionamiento físico, Instructor especializado en acondicionamiento físico
Instructor de artes marciales, Instructor de clases de artes marciales
Instructor de futbol, Instructor de clases de futbol
Instructor de gimnasio de físico culturismo, Instructor de gimnasio especializado en físico culturismo
Instructor de golf, Instructor de clases de golf
Instructor de natación, Instructor de clases de natación
Instructor de tai chi, Instructor de clases de tai chi
Instructor de tenis, Instructor de clases de tenis
Instructor de yoga, Instructor de clases de yoga
Instructor de zumba, Instructor de clases de zumba

Inspector de comercios, Inspector a cargo de comercios
Inspector de construcción, Inspector a cargo de zonas de construcción
Inspector de licencias a negocios, Inspector a cargo de licencias a negocios
Inspector de reglamentos, Inspector a cargo de reglamentos
Inspector de vialidad, Inspector a cargo de vialidad
Inspector de vigilancia municipal, Inspector a cargo de vigilancia municipal

Profesor de música, Profesor de clases de música, Maestro de música
Profesor de artes plásticas, Profesor de la disciplina de artes plásticas, Maestro de artes plásticas
Profesor de artesanías, Profesor de clases de artesanías, Maestro de artesanías
Profesor de canto, Profesor de clases de canto, Maestro de canto
Profesor de composición musical, Profesor de clases de composición musical, Maestro de composición musical
Profesor de dibujo, Profesor de clases de dibujo, Maestro de dibujo
Profesor de educación musical, Profesor especializado en educación musical, Maestro de educación musical
Profesor de instrumentos de aliento, Profesor especializado en instrumentos de aliento, Maestro de instrumentos de aliento
Profesor de instrumentos de cuerda, Profesor especializado en instrumentos de cuerda, Maestro de instrumentos de cuerda
Profesor de música escolar, Profesor de clases de música escolar, Maestro de música escolar
Profesor de orientación educativa, Profesor a cargo de orientación educativa, Maestro de orientación educativa
Profesor de piano, Profesor especializado en piano, Maestro de piano
Profesor de pintura, Profesor especializado en pintura, Maestro de pintura
Profesor de jazz, Profesor especializado en jazz, Maestro de jazz
Profesor de administración en escuela comercial, Profesor especializado en administración de escuela comercial
Profesor de contabilidad en escuela comercial, Profesor especializado en contabilidad de escuela comercial

Construcción naval, Construcción de navíos, Técnico en construcción naval
Construcción urbana, Construcción en entorno urbano
Construcción en administración de obras, Construcción especializada en administración de obras
Construcción de obras, Construcción especializada en obras
Construcción de carreteras, Construcción especializada en carreteras

Operación de equipo pesado, Operación especializada en equipo pesado
Operación de microcomputadoras, Operación especializada en microcomputadoras
Operación de máquinas industriales, Operación especializada en máquinas industriales
Operación de farmacias, Operación especializada en farmacias
Operación de plantas químicas, Operación especializada en plantas químicas
Operación de minas subterráneas, Operación especializada en minas subterráneas

Computación administrativa, Computación en administración 
Computación secretarial, Computación especializada en el ámbito secretarial
Computación educativa, Computación en educación 
Computación estadística, Computación especializada en estadística

Informática administrativa, Informática en administración, Licenciado en informática administrativa 
Informática contable,  Informática en contabilidad
Informática agropecuaria, Informática especializada en la industria agropecuaria 

Programación de equipo de cómputo, Programación de equipos computacionales
Programación en contabilidad, Programación especializada en contabilidad

Sistemas computacionales, Sistemas de cómputo
Sistemas eléctricos automotrices, Sistemas eléctricos en la industria automotriz
Sistemas de inyección de gasolina, Sistemas de inyección de combustible
Sistemas de control industrial, Sistemas de control en la industria
Sistemas electrónicos de aviación, Sistemas electrónicos especializados en aviación
Sistemas automotrices, Sistemas de la industria automotriz
Sistemas mecánicos industriales, Sistemas mecánicos en la industria
Sistemas térmicos, Sistemas de control térmico
Sistemas de producción agropecuaria, Sistemas de producción en ámbito agropecuario
Sistemas ambientales, Sistemas en el medio ambiente
Sistemas de ahorro de energía, Sistemas especializados en ahorro de energía
Sistemas de información administrativa, Sistemas de información en administración 
Sistemas de calidad en sistemas, Sistemas de calidad especializados en sistemas 
Sistemas de manufactura en automatización de plantas de manufactura, Sistemas de manufactura especializados en automatización de plantas de manufactura
Sistemas de manufactura en ingeniería de materiales, Sistemas de manufactura especializados en ingeniería de materiales
Sistemas constructivos, Sistemas de construcción 
Sistemas constructivos asistidos por computadora, Sistemas de construcción asistidos por computadora 
Sistemas de transporte, Sistemas especializados en transporte

Electrónica en sistemas de comunicación, Electrónica especializada en sistemas de comunicación
Electrónica aeronáutica, Electrónico especializada en aeronáutica
Electrónica de aviación, Electrónica especializada en aviación
Electrónica en liquidación, Electrónica especializada en liquidación
Electrónica industrial en instrumentación, Electrónica industrial especializada en instrumentación
Electrónica marina, Electrónica del mar
Electrónica en diseño de circuitos integrados, Electrónica especializada en diseño de circuitos integrados
Electrónica en ingeniería de sistemas computacionales, Electrónica especializada en ingeniería de sistemas computacionales
Electrónica en instrumentación electrónica, Electrónica especializada en instrumentación electrónica

Mecánica automotriz, Mecánica en la industria automotriz
Mecánica en fuerza motriz, Mecánica especializada en fuerza motriz 
Mecánica en máquinas, Mecánica especializada en máquinas 
Mecánica en aeronáutica, Mecánica especializada en aeronáutica 
Mecánica en maquinaria agrícola, Mecánica especializada en maquinaria agrícola 
Mecánica naval, Mecánica en la industria naval 
 
Reparación de aparatos electrodomésticos, Reparación especializada en aparatos electrodomésticos,  Reparador de aparatos electrodomésticos
Reparador de aparatos eléctricos, Reparador de aparatos electrónicos, Reparación especializada en aparatos electromecánicos
Reparación de transmisiones, Reparación especializada en transmisiones 

Alimentos marinos, Alimentos del mar 
Alimentos marinos en industrias pesqueras, Alimentos del mar en industrias pesqueras 
Alimentos en desarrollo de productos, Alimentos aplicados en desarrollo de productos 
Alimentos en producción, Alimentos aplicados en producción 
Alimentos marinos en alimentos balanceados, Alimentos del mar en alimentos balanceados 
